name,slug, migrant(s)/1,000 population,date_of_information,ranking,region
"Argentina","argentina","-0.1","2024",98,"South America"
"Afghanistan","afghanistan","-0.1","2024",99,"South Asia"
"China","china","-0.1","2024",100,"East and Southeast Asia"
"Chad","chad","-0.1","2024",101,"Africa"
"Kenya","kenya","-0.2","2024",102,"Africa"
"Brazil","brazil","-0.2","2024",103,"South America"
"South Africa","south-africa","-0.2","2024",104,"Africa"
"Angola","angola","-0.2","2024",105,"Africa"
"Vietnam","vietnam","-0.2","2024",106,"East and Southeast Asia"
"Ghana","ghana","-0.2","2024",107,"Africa"
"Yemen","yemen","-0.2","2024",108,"Middle East"
"Philippines","philippines","-0.2","2024",109,"East and Southeast Asia"
"Nigeria","nigeria","-0.2","2024",110,"Africa"
"Bulgaria","bulgaria","-0.3","2024",111,"Europe"
"Barbados","barbados","-0.3","2024",112,"Central America and the Caribbean"
"Iran","iran","-0.3","2024",113,"Middle East"
"Cameroon","cameroon","-0.3","2024",114,"Africa"
"Egypt","egypt","-0.3","2024",115,"Africa"
"Thailand","thailand","-0.3","2024",116,"East and Southeast Asia"
"Kazakhstan","kazakhstan","-0.4","2024",117,"Central Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","-0.4","2024",118,"Europe"
"Kosovo","kosovo","-0.4","2024",119,"Europe"
"Tanzania","tanzania","-0.4","2024",120,"Africa"
"Oman","oman","-0.5","2024",121,"Middle East"
"Algeria","algeria","-0.5","2024",122,"Africa"
"Burkina Faso","burkina-faso","-0.6","2024",123,"Africa"
"Cabo Verde","cabo-verde","-0.6","2024",124,"Africa"
"Niger","niger","-0.6","2024",125,"Africa"
"French Polynesia","french-polynesia","-0.6","2024",126,"Australia and Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-0.6","2024",127,"Africa"
"Saint Lucia","saint-lucia","-0.6","2024",128,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","-0.6","2024",129,"Central Asia"
"Paracel Islands","paracel-islands","-0.66","2021",130,"East and Southeast Asia"
"Mexico","mexico","-0.7","2024",131,"North America"
"Indonesia","indonesia","-0.7","2024",132,"East and Southeast Asia"
"Mauritania","mauritania","-0.7","2024",133,"Africa"
"Senegal","senegal","-0.7","2024",134,"Africa"
"Qatar","qatar","-0.7","2024",135,"Middle East"
"Somalia","somalia","-0.7","2024",136,"Africa"
"Burundi","burundi","-0.7","2024",137,"Africa"
"Mongolia","mongolia","-0.8","2024",138,"East and Southeast Asia"
"Liberia","liberia","-0.8","2024",139,"Africa"
"Uruguay","uruguay","-0.9","2024",140,"South America"
